clinvar_class,rAF5,log_key
B/LB,1.19523817112623e-05,0
B/LB,2.91115972285759e-05,0
B/LB,7.9744498626401e-06,0
B/LB,8.89322204728559e-05,0
B/LB,0.123668386506087,0
B/LB,0.123668386506087,0
B/LB,1.59620741119101e-05,0
B/LB,7.98517950683531e-06,0
B/LB,0.554411286072731,0
B/LB,0.554411286072731,0
B/LB,0.000246808409001342,0
B/LB,5.00682749203459e-05,0
B/LB,2.77802471330785e-05,0
B/LB,7.95772854596384e-06,0
B/LB,3.39567221576101e-05,0
B/LB,0.00637122346944731,0
B/LB,7.16800203889836e-05,0
B/LB,6.0846990102223e-05,0
B/LB,4.25792826242463e-06,0
B/LB,3.97968767411134e-06,0
B/LB,4.10468590943421e-06,0
B/LB,8.53387950162144e-06,0
B/LB,6.38992947115346e-05,0
B/LB,3.98346067129279e-05,0
B/LB,4.37490554181217e-05,0
B/LB,1.19472409838155e-05,0
B/LB,2.83453598645902e-05,0
B/LB,3.1977999136594e-05,0
B/LB,0.000698820637406636,0
B/LB,7.79706830231833e-05,0
B/LB,2.80029123028795e-05,0
B/LB,0.0001768251841929,0
B/LB,0.0001768251841929,0
B/LB,7.95975547631177e-06,0
B/LB,1.1937637780236e-05,0
B/LB,7.95361452011867e-06,0
B/LB,2.91773650338457e-05,0
B/LB,5.18742568015131e-05,0
B/LB,1.1934028689405e-05,0
B/LB,0.000107567721184467,0
B/LB,3.97978270386437e-06,0
B/LB,1.39766310728462e-05,0
B/LB,0.733527223182938,0
B/LB,0.106365279982345,0
B/LB,2.42021362418923e-05,0
B/LB,7.55909020381694e-05,0
B/LB,2.827003537793e-05,0
B/LB,4.00544740847553e-06,0
B/LB,1.19403935553716e-05,0
B/LB,8.36240263774072e-05,0
B/LB,0.00094346898936384,0
B/LB,4.02699698780625e-06,0
B/LB,5.16480905700916e-06,0
B/LB,7.96133973425048e-06,0
B/LB,7.99731290286464e-06,0
B/LB,7.99731290286464e-06,0
B/LB,1.41394717493354e-05,0
B/LB,8.79076383746144e-05,0
B/LB,4.30137127716316e-05,0
B/LB,2.78615836524148e-05,0
B/LB,7.95795019118975e-05,0
B/LB,5.97842982519071e-05,0
B/LB,1.23273148642763e-05,0
B/LB,3.98606471774676e-06,0
B/LB,0.000164381364766258,0
B/LB,0.000224394035927088,0
B/LB,1.98922635008792e-05,0
B/LB,3.98127209606013e-06,0
B/LB,3.98606471774676e-06,0
B/LB,2.00203406661168e-05,0
B/LB,0.000153618027964949,0
B/LB,4.01503228085954e-06,0
B/LB,8.01089481695105e-06,0
B/LB,8.36586726157278e-05,0
B/LB,0.000228569595431816,0
B/LB,0.000228569595431816,0
B/LB,0.0123856494218166,0
B/LB,4.01677404842623e-06,0
B/LB,8.06224049663402e-06,0
B/LB,0.0113869235676658,0
B/LB,3.98013118512386e-06,0
B/LB,5.25503068129452e-05,0
B/LB,4.40532162852726e-05,0
B/LB,4.40532162852726e-05,0
